county,indicator,Unit,Date,Value
Bomet,Neonatal mortality rate,,2014,28
Bomet,Neonatal mortality rate,,2022,17
Kericho,Under-five mortality rate,,2014,46
Kericho,Under-five mortality rate,,2022,31
Kericho,Child mortality rate,,2014,14
Kericho,Child mortality rate,,2022,7
Kericho,Infant mortality rate,,2014,32
Kericho,Infant mortality rate,,2022,25
Kericho,Postneonatal mortality rate,,2014,9
Kericho,Postneonatal mortality rate,,2022,8
Kericho,Neonatal mortality rate,,2014,23
Kericho,Neonatal mortality rate,,2022,17
Kajiado,Under-five mortality rate,,2014,22
Kajiado,Under-five mortality rate,,2022,32
Kajiado,Child mortality rate,,2014,2
Kajiado,Child mortality rate,,2022,7
Kajiado,Infant mortality rate,,2014,19
Kajiado,Infant mortality rate,,2022,25
Kajiado,Postneonatal mortality rate,,2014,9
Kajiado,Postneonatal mortality rate,,2022,12
Kajiado,Neonatal mortality rate,,2014,10
Kajiado,Neonatal mortality rate,,2022,14
Laikipia,Under-five mortality rate,,2014,36
Laikipia,Under-five mortality rate,,2022,50
Laikipia,Child mortality rate,,2014,10
Laikipia,Child mortality rate,,2022,7
Laikipia,Infant mortality rate,,2014,27
Laikipia,Infant mortality rate,,2022,44
Laikipia,Postneonatal mortality rate,,2014,8
Laikipia,Postneonatal mortality rate,,2022,23
Laikipia,Neonatal mortality rate,,2014,18
Laikipia,Neonatal mortality rate,,2022,20
Nakuru,Under-five mortality rate,,2014,62
Nakuru,Under-five mortality rate,,2022,51
Nakuru,Child mortality rate,,2014,17
Nakuru,Child mortality rate,,2022,10
Nakuru,Infant mortality rate,,2014,47
Nakuru,Infant mortality rate,,2022,41
Nakuru,Postneonatal mortality rate,,2014,24
Nakuru,Postneonatal mortality rate,,2022,16
Nakuru,Neonatal mortality rate,,2014,22
Nakuru,Neonatal mortality rate,,2022,25
Narok,Under-five mortality rate,,2014,42
Narok,Under-five mortality rate,,2022,26
Narok,Child mortality rate,,2014,8
Narok,Child mortality rate,,2022,2
Narok,Infant mortality rate,,2014,35
Narok,Infant mortality rate,,2022,24
Narok,Postneonatal mortality rate,,2014,16
Narok,Postneonatal mortality rate,,2022,8
Narok,Neonatal mortality rate,,2014,19
Narok,Neonatal mortality rate,,2022,16
Nandi,Under-five mortality rate,,2014,36
Nandi,Under-five mortality rate,,2022,39
Nandi,Child mortality rate,,2014,6
Nandi,Child mortality rate,,2022,7
Nandi,Infant mortality rate,,2014,30
Nandi,Infant mortality rate,,2022,33
Nandi,Postneonatal mortality rate,,2014,9
Nandi,Postneonatal mortality rate,,2022,9
Nandi,Neonatal mortality rate,,2014,21
Nandi,Neonatal mortality rate,,2022,24
Samburu,Under-five mortality rate,,2014,23
Samburu,Under-five mortality rate,,2022,38
Samburu,Child mortality rate,,2014,7
Samburu,Child mortality rate,,2022,9
Samburu,Infant mortality rate,,2014,17
Samburu,Infant mortality rate,,2022,29
Samburu,Postneonatal mortality rate,,2014,9
Samburu,Postneonatal mortality rate,,2022,10
Samburu,Neonatal mortality rate,,2014,8
Samburu,Neonatal mortality rate,,2022,19
Trans-Nzoia,Under-five mortality rate,,2014,54
Trans-Nzoia,Under-five mortality rate,,2022,42
Trans-Nzoia,Child mortality rate,,2014,28
Trans-Nzoia,Child mortality rate,,2022,6
Trans-Nzoia,Infant mortality rate,,2014,26
Trans-Nzoia,Infant mortality rate,,2022,36
Trans-Nzoia,Postneonatal mortality rate,,2014,10
Trans-Nzoia,Postneonatal mortality rate,,2022,14
Trans-Nzoia,Neonatal mortality rate,,2014,16
Trans-Nzoia,Neonatal mortality rate,,2022,23
Turkana,Under-five mortality rate,,2014,71
Turkana,Under-five mortality rate,,2022,55
Turkana,Child mortality rate,,2014,28
Turkana,Child mortality rate,,2022,27
Turkana,Infant mortality rate,,2014,45
Turkana,Infant mortality rate,,2022,29
Turkana,Postneonatal mortality rate,,2014,22
Turkana,Postneonatal mortality rate,,2022,7
Turkana,Neonatal mortality rate,,2014,23
Turkana,Neonatal mortality rate,,2022,21
Uasin Gishu,Under-five mortality rate,,2014,40
Uasin Gishu,Under-five mortality rate,,2022,37
Uasin Gishu,Child mortality rate,,2014,9
Uasin Gishu,Child mortality rate,,2022,6
Uasin Gishu,Infant mortality rate,,2014,31
Uasin Gishu,Infant mortality rate,,2022,31
Uasin Gishu,Postneonatal mortality rate,,2014,14
Uasin Gishu,Postneonatal mortality rate,,2022,14
Uasin Gishu,Neonatal mortality rate,,2014,18
